model,bin,lower,upper,n,mean_probability,observed_rate,absolute_gap
Logistic_RFM,4,0.30000000000000004,0.4,2665,0.3630363373085207,0.2915572232645403,0.07147911404398039
Logistic_RFM,5,0.4,0.5,446,0.4837597459517121,0.3609865470852018,0.12277319886651034
Logistic_RFM,6,0.5,0.6000000000000001,598,0.5160918037855936,0.42474916387959866,0.09134263990599495
Logistic_RFM,7,0.6000000000000001,0.7000000000000001,389,0.6510463905498284,0.5449871465295629,0.10605924402026545
Logistic_RFM,8,0.7000000000000001,0.8,208,0.7747175316082131,0.7067307692307693,0.06798676237744383
Logistic_RFM,9,0.8,0.9,121,0.862820925365737,0.8099173553719008,0.052903569993836164
Logistic_RFM,10,0.9,1.0,185,0.9652620386603383,0.8918918918918919,0.07337014676844644
Logistic_All,1,0.0,0.1,2,0.06783377789051499,0.0,0.06783377789051499
Logistic_All,2,0.1,0.2,2,0.1389959190479409,0.0,0.1389959190479409
Logistic_All,3,0.2,0.30000000000000004,240,0.29183337529183373,0.1625,0.12933337529183372
Logistic_All,4,0.30000000000000004,0.4,2267,0.35108322866669966,0.2959858844287605,0.05509734423793916
Logistic_All,5,0.4,0.5,422,0.4393263391580836,0.34834123222748814,0.09098510693059547
Logistic_All,6,0.5,0.6000000000000001,769,0.5457940628522923,0.4213263979193758,0.12446766493291644
Logistic_All,7,0.6000000000000001,0.7000000000000001,295,0.6534500776066923,0.5220338983050847,0.13141617930160754
Logistic_All,8,0.7000000000000001,0.8,207,0.7412991352177375,0.6763285024154589,0.06497063280227855
Logistic_All,9,0.8,0.9,202,0.8457279044441046,0.7722772277227723,0.07345067672133232
Logistic_All,10,0.9,1.0,206,0.9620503647998389,0.8883495145631068,0.07370085023673201
RandomForest_All,1,0.0,0.1,32,0.08241096761964842,0.1875,0.10508903238035158
RandomForest_All,2,0.1,0.2,516,0.16400355836054037,0.25387596899224807,0.0898724106317077
RandomForest_All,3,0.2,0.30000000000000004,1111,0.2510116635292428,0.28982898289828984,0.03881731936904703
RandomForest_All,4,0.30000000000000004,0.4,1010,0.34780096495073964,0.3069306930693069,0.04087027188143272
RandomForest_All,5,0.4,0.5,701,0.44619683210563055,0.38088445078459343,0.06531238132103712
RandomForest_All,6,0.5,0.6000000000000001,435,0.545883290088289,0.4436781609195402,0.10220512916874874
RandomForest_All,7,0.6000000000000001,0.7000000000000001,290,0.6460348401426124,0.5827586206896552,0.06327621945295714
RandomForest_All,8,0.7000000000000001,0.8,179,0.7466093546177444,0.6927374301675978,0.05387192445014655
RandomForest_All,9,0.8,0.9,197,0.8486818285392773,0.8274111675126904,0.021270661026586923
RandomForest_All,10,0.9,1.0,141,0.9482246021741807,0.9148936170212766,0.03333098515290411
LightGBM_All,1,0.0,0.1,25,0.0718650883991967,0.08,0.008134911600803305
LightGBM_All,2,0.1,0.2,203,0.16335576249171146,0.20689655172413793,0.04354078923242646
LightGBM_All,3,0.2,0.30000000000000004,732,0.2575629087329974,0.26366120218579236,0.006098293452794945
LightGBM_All,4,0.30000000000000004,0.4,1189,0.3488992330409906,0.2977291841883936,0.05117004885259696
LightGBM_All,5,0.4,0.5,920,0.4479477943057116,0.35543478260869565,0.09251301169701592
LightGBM_All,6,0.5,0.6000000000000001,477,0.5465517618680835,0.4129979035639413,0.13355385830414224
LightGBM_All,7,0.6000000000000001,0.7000000000000001,381,0.6502605543292219,0.5013123359580053,0.14894821837121663
LightGBM_All,8,0.7000000000000001,0.8,246,0.7473773087356714,0.5853658536585366,0.16201145507713488
LightGBM_All,9,0.8,0.9,217,0.8482072948878051,0.7695852534562212,0.07862204143158391
LightGBM_All,10,0.9,1.0,222,0.9520883449528512,0.8873873873873874,0.06470095756546379
