model,contact_fraction,selected_n,selected_positive,precision_at_k,capture_rate,lift_at_k,prevalence
Logistic_RFM,0.1,463,380,0.8207343412526998,0.20948180815876516,2.0866740804065333,0.3933217692974848
Logistic_RFM,0.2,924,627,0.6785714285714286,0.34564498346196254,1.7252323200504018,0.3933217692974848
Logistic_RFM,0.3,1385,820,0.592057761732852,0.4520396912899669,1.5052758528731607,0.3933217692974848
Logistic_All,0.1,463,378,0.816414686825054,0.20837927232635062,2.075691585246499,0.3933217692974848
Logistic_All,0.2,924,641,0.6937229437229437,0.3533627342888644,1.7637542538314315,0.3933217692974848
Logistic_All,0.3,1385,838,0.6050541516245488,0.4619625137816979,1.5383184935459864,0.3933217692974848
RandomForest_All,0.1,463,383,0.8272138228941684,0.211135611907387,2.103147823146585,0.3933217692974848
RandomForest_All,0.2,924,640,0.6926406926406926,0.3528114663726571,1.7610026871327864,0.3933217692974848
RandomForest_All,0.3,1385,833,0.6014440433212996,0.4592061742006615,1.529139982247979,0.3933217692974848
LightGBM_All,0.1,463,376,0.8120950323974082,0.20727673649393605,2.0647090900864646,0.3933217692974848
LightGBM_All,0.2,924,625,0.6764069264069265,0.34454244762954794,1.719729186653112,0.3933217692974848
LightGBM_All,0.3,1385,837,0.604332129963899,0.46141124586549065,1.5364827912863848,0.3933217692974848
