covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
recency,4.6857421437264374e-05,1.0000468585192634,0.019789059637592914,-0.0387389867561601,0.03883270159903463,0.9620017715826116,1.0395965462610015,0.0,0.0023678447735965276,0.9981107349781899,0.002728211247187348
frequency,0.04267182342569718,1.0435953550983312,0.024135517426063003,-0.004632921477625167,0.08997656832901954,0.9953777939487873,1.0941486456737715,0.0,1.7680094721987418,0.07705932014089689,3.6978867319589805
monetary,0.011696102160623702,1.0117647690138747,0.024813256348731452,-0.03693698662204979,0.060329190943297195,0.9637368617508595,1.062186151059907,0.0,0.4713650637483399,0.6373800599751096,0.6497742088513018
quantity,-0.009851392747584902,0.9901969732674446,0.019448206797055032,-0.047969177633699844,0.028266392138530036,0.9531631653689752,1.028669677440226,0.0,-0.5065450429638922,0.6124740774903787,0.707279310474185
unique_products,0.004553216389624986,1.0045635980300083,0.015461064248579482,-0.025749912700250635,0.0348563454795006,0.9745787889121408,1.03547094803227,0.0,0.2944956644910988,0.7683791758473841,0.38010967441178317
active_days,0.1725411132606621,1.1883206753483684,0.023423619683101977,0.1266316622942187,0.2184505642271055,1.1349988778951223,1.2441475097131203,0.0,7.366116577837665,1.7567021683436595e-13,42.37219561627912
avg_unit_price,-0.019709118751594337,0.9804838361927899,0.020658795558752916,-0.06019961401072607,0.0207813765075374,0.9415765629499508,1.0209988129095242,0.0,-0.9540303884387775,0.3400682603745162,1.5561037337610666
amount_std,-0.012472741759058709,0.9876047204944098,0.019176065694494333,-0.05005713988544166,0.025111656367324243,0.9511750729132059,1.0254296098777629,0.0,-0.6504327820820814,0.5154127076365633,0.9561999872236986
tenure_days,0.30950040933492645,1.3627441297935037,0.021280495859975653,0.26779140387622047,0.35120941479363244,1.3070744609099856,1.420784828122003,0.0,14.543853271625812,6.389255045502719e-48,156.77690082448703
avg_basket,0.016986992500543203,1.0171320918940607,0.01483872458531579,-0.012096373263184794,0.0460703582642712,0.9879764937550631,1.0471480838867742,0.0,1.1447744314463058,0.2523026095126183,1.9867729670057903
recent30_orders,-0.02970011955680871,0.9707365948248128,0.02251271808687912,-0.07382423620119526,0.014423997087577831,0.9288349350515666,1.0145285248985139,0.0,-1.3192596043797375,0.18708233770932353,2.4182547335399116
recent30_amount,-0.008137360393543335,0.9918956583011711,0.021224361379141868,-0.049736344291524265,0.0334616235044376,0.9514802546334991,1.0340277606030677,0.0,-0.38339718440434606,0.7014252906617251,0.5116386453994891
prior30_orders,0.10196951725687184,1.1073497161565042,0.020601387647244174,0.0615915394367249,0.14234749507701877,1.0635278468130753,1.1529772328447652,0.0,4.949643150397794,7.434967579623097e-07,20.35917021283081
prior30_amount,0.02703242579320507,1.027401116519517,0.019839103776144,-0.01185150309358976,0.0659163546799999,0.9882184493492897,1.0681373687372444,0.0,1.3625830127322007,0.17301396553422294,2.5310395992578463
order_trend,0.021143477881673593,1.0213685849261076,0.011962878203142405,-0.0023033325479247593,0.044590288311271944,0.9976993180870002,1.045599377850825,0.0,1.7674239863212542,0.07715724882715905,3.6960544872142505
amount_trend,0.00036522974304194444,1.0003652964475451,0.01570769212027469,-0.030421281092940042,0.031151740579023934,0.9700367892976538,1.0316420339698198,0.0,0.023251648952969006,0.981449539819871,0.027013999914239778
mean_purchase_interval,-0.028526131662707562,0.9718768970550369,0.018798337515852227,-0.06537019616300607,0.008317932837590952,0.9367206288003592,1.0083526229575916,0.0,-1.5174816197789884,0.12914513061831875,2.9529348468262655
